Date,ULTAStoreNo,City,TotalQtySold,TotalGrossSales
{"":"2024-08-18,611,Eau Claire               ,21,1257.5
{"":"2024-08-18,613,DeKalb                   ,10,578.5
{"":"2024-08-18,614,San Ysidro               ,13,572.5
{"":"2024-08-18,615,Palm Beach Gardens       ,33,1816.5
{"":"2024-08-18,616,Dobbs Ferry              ,12,673
{"":"2024-08-18,617,Staten Island            ,21,895
{"":"2024-08-18,618,Houston                  ,68,3451.5
{"":"2024-08-18,619,Lisbon                   ,10,288.5
{"":"2024-08-18,620,Newport beach            ,21,1113
{"":"2024-08-18,621,Livonia                  ,6,213.5
{"":"2024-08-18,622,Orem                     ,17,852
{"":"2024-08-18,623,Clifton                  ,26,1006
{"":"2024-08-18,624,Bluffton                 ,20,917.5
{"":"2024-08-18,626,Ann Arbor                ,14,704
{"":"2024-08-18,627,Madison                  ,19,1063
{"":"2024-08-18,628,Madison                  ,26,1171.5
{"":"2024-08-18,629,Woodbridge               ,21,1065
{"":"2024-08-18,630,Lake Worth               ,13,618.5
{"":"2024-08-18,631,Knoxville                ,10,480
{"":"2024-08-18,633,Martinsburg              ,24,1119
{"":"2024-08-18,634,Branson                  ,9,459
{"":"2024-08-18,635,Clovis                   ,32,1616
{"":"2024-08-18,636,Hanford                  ,12,527.5
{"":"2024-08-18,637,Alameda                  ,22,818.5
{"":"2024-08-18,638,Sevierville              ,24,1115
{"":"2024-08-18,639,Spring Hill              ,11,598
{"":"2024-08-18,640,Athens                   ,20,798.5
{"":"2024-08-18,641,Overland Park            ,25,1360
{"":"2024-08-18,642,Carmel                   ,9,-162.5
{"":"2024-08-18,643,Overland Park            ,11,691.5
{"":"2024-08-18,644,Columbia                 ,9,299.5
{"":"2024-08-18,645,Eureka                   ,14,593.5
{"":"2024-08-18,646,Glendale                 ,14,723
{"":"2024-08-18,647,Carson City              ,38,2157
{"":"2024-08-18,648,Napa                     ,29,1139.5
{"":"2024-08-18,649,East Peoria              ,15,647
{"":"2024-08-18,650,Fremont                  ,16,592.5
{"":"2024-08-18,651,Houston                  ,11,645.5
{"":"2024-08-18,652,New Braunfels            ,51,2501
{"":"2024-08-18,653,North Olmsted            ,3,154.5
{"":"2024-08-18,654,Brentwood                ,25,1124.5
{"":"2024-08-18,655,Oxnard                   ,38,1594.5
{"":"2024-08-18,656,Heath                    ,13,686
{"":"2024-08-18,657,Salisbury                ,30,1470.5
{"":"2024-08-18,658,Royal Oak                ,15,713
