Date,SEPHORAStoreNo,TotalQtySold,TotalGrossSales
{"":"2024-08-18,0536,0,0
{"":"2024-08-18,0602,28,1193
{"":"2024-08-18,0604,15,935
{"":"2024-08-18,0610,15,458
{"":"2024-08-18,0612,2,76.5
{"":"2024-08-18,0616,14,609
{"":"2024-08-18,0618,12,632
{"":"2024-08-18,0620,9,505
{"":"2024-08-18,0622,8,432.5
{"":"2024-08-18,0624,2,39
{"":"2024-08-18,0626,21,1053
{"":"2024-08-18,0632,22,961.5
{"":"2024-08-18,0634,20,993
{"":"2024-08-18,0638,35,1629
{"":"2024-08-18,0640,39,2114.5
{"":"2024-08-18,0642,6,224.5
{"":"2024-08-18,0644,10,457.5
{"":"2024-08-18,0646,22,1440.5
{"":"2024-08-18,0648,7,325
{"":"2024-08-18,0650,20,720.5
{"":"2024-08-18,0652,7,239
{"":"2024-08-18,0654,13,716.5
{"":"2024-08-18,0656,9,208
{"":"2024-08-18,0658,20,1047
{"":"2024-08-18,0660,8,351.5
{"":"2024-08-18,0662,21,827
{"":"2024-08-18,0670,4,190
{"":"2024-08-18,0672,6,261.5
{"":"2024-08-18,0674,4,292
{"":"2024-08-18,0676,24,1019.5
{"":"2024-08-18,0680,16,561.5
{"":"2024-08-18,0682,0,0
{"":"2024-08-18,0684,7,373.5
{"":"2024-08-18,0686,18,640.5
{"":"2024-08-18,0688,6,244.5
{"":"2024-08-18,0690,4,226.5
{"":"2024-08-18,0692,20,768.5
{"":"2024-08-18,0694,13,811.5
{"":"2024-08-18,0696,16,318
{"":"2024-08-18,0700,1034,49037.5
{"":"2024-08-18,0701,0,0
{"":"2024-08-18,0708,26,1330
{"":"2024-08-18,0710,0,0
{"":"2024-08-18,0712,36,1718
{"":"2024-08-18,0720,16,678
{"":"2024-08-18,0722,0,0
{"":"2024-08-18,0724,0,0
{"":"2024-08-18,0726,22,1181
{"":"2024-08-18,0728,0,0
{"":"2024-08-18,0730,16,628
{"":"2024-08-18,0732,21,1033
{"":"2024-08-18,0734,16,1037
{"":"2024-08-18,0736,0,0
{"":"2024-08-18,0738,19,817
{"":"2024-08-18,0742,16,765
